"",%time,Flavour,TSS,Acid,%Juice,Bite,Weight,DMC_fruit,Tair,Rhair,CO2air,EC_drain_PC,pH_drain_PC,water_sup
0,43880,85,8.60,14.5,69,141,8.80,8.86,3,8,3,3,3,2
1,43894,77,8.60,15.2,62,236,9.03,8.86,3,8,3,3,3,2
2,43908,71,8.00,13.3,55,348,10.77,8.86,3,8,4,3,3,2
3,43922,78,8.80,13.8,64,277,9.10,9.51,3,8,3,3,3,3
4,43936,78,8.90,14.0,63,237,9.50,9.26,3,8,4,3,3,3
5,43950,77,8.60,11.6,65,173,11.40,8.81,4,8,4,3,3,2
6,43964,83,9.13,10.5,65,139,11.70,8.66,5,7,3,4,3,2
7,43980,68,7.50,9.0,64,169,13.30,8.58,4,6,3,4,3,1
