"",%time,Flavour,TSS,Acid,%Juice,Bite,Weight,DMC_fruit,Tair,Rhair,CO2air,EC_drain_PC,pH_drain_PC,water_sup
0,43880,74,8.0,13.6,60,177,9.63,9.28,3,8,4,3,3,2
1,43894,74,8.1,14.9,62,244,9.53,9.28,3,8,3,3,2,2
2,43908,74,8.3,14.4,57,308,9.67,9.28,3,8,3,3,2,2
3,43922,80,9.4,14.3,58,254,9.70,9.28,3,8,3,4,2,2
4,43936,75,8.9,14.6,50,312,8.70,9.09,3,8,3,3,2,3
5,43950,75,8.5,12.6,64,260,10.10,8.76,3,8,3,3,3,3
6,43964,78,9.0,13.3,63,208,11.07,8.36,3,7,2,3,3,2
7,43980,74,8.2,14.3,60,232,9.90,9.51,4,7,2,3,3,2
