"",%time,Flavour,TSS,Acid,%Juice,Bite,Weight,DMC_fruit,Tair,Rhair,CO2air,EC_drain_PC,pH_drain_PC,water_sup
0,43880,78,8.6,13.3,68,193,9.50,8.77,19.335488,82.788504,654.360878,8.258960,5.768464,38.785714
1,43894,78,8.7,14.8,61,193,9.40,8.77,20.399900,82.668840,642.304131,10.224689,5.375137,40.071429
2,43908,73,8.4,13.9,56,317,10.10,8.77,21.060472,79.919949,636.368551,9.007871,5.055689,54.214286
3,43922,84,9.9,14.9,60,263,8.80,9.85,21.635540,77.115231,588.740916,5.111678,6.007765,96.857143
4,43936,78,9.3,14.0,55,298,8.80,10.21,22.108337,74.507442,596.345445,6.587979,5.522076,87.642857
5,43950,80,9.0,12.6,68,190,10.30,9.41,22.530289,77.767198,587.793430,6.138477,5.255575,87.000000
6,43964,88,9.7,12.4,69,148,10.87,9.62,27.197822,83.063066,495.680096,6.528593,5.113219,58.875000
7,43980,65,7.3,9.6,57,182,14.30,8.92,24.882230,68.147038,491.202091,7.558885,5.000348,751.000000
