"",%time,Flavour,TSS,Acid,%Juice,Bite,Weight,DMC_fruit,Tair,Rhair,CO2air,EC_drain_PC,pH_drain_PC,water_sup
0,43880,74,7.9,15.0,58,187,7.77,9.59,22.732207,87.072375,608.535396,5.772066,5.594460,66.357143
1,43894,73,7.9,14.4,63,217,8.90,9.59,22.707242,87.600249,670.625187,4.946690,5.352987,75.714286
2,43908,76,8.7,15.8,55,284,7.47,9.59,22.915349,84.702180,760.527094,5.828616,5.187611,70.928571
3,43922,79,9.2,13.4,62,214,9.10,8.79,23.690393,78.294002,736.831757,5.470458,5.308711,81.000000
4,43936,73,8.6,12.1,58,238,10.10,8.74,22.942758,78.266078,731.763813,6.604629,5.038576,84.785714
5,43950,71,8.3,10.7,62,219,11.30,8.14,22.552912,77.995072,653.256346,7.142409,4.178223,70.357143
6,43964,78,9.0,10.9,67,185,14.63,9.32,23.824652,72.685453,590.995645,8.961803,4.143619,48.062500
7,43980,73,8.1,11.0,59,166,13.20,9.47,24.022997,60.286063,513.944251,10.146690,4.434843,26.000000
