"",%time,Flavour,TSS,Acid,%Juice,Bite,Weight,DMC_fruit,Tair,Rhair,CO2air,EC_drain_PC,pH_drain_PC,water_sup
0,43880,85,8.60,14.5,69,141,8.80,8.86,21.227160,89.477514,658.394172,4.947630,5.397316,32.571429
1,43894,77,8.60,15.2,62,236,9.03,8.86,22.312967,89.442260,645.367596,5.931458,5.217745,43.428571
2,43908,71,8.00,13.3,55,348,10.77,8.86,23.821216,87.273458,731.819817,5.843914,5.386946,56.000000
3,43922,78,8.80,13.8,64,277,9.10,9.51,23.873096,84.621055,696.460926,5.134072,5.975311,64.285714
4,43936,78,8.90,14.0,63,237,9.50,9.26,23.425560,81.300174,700.944500,5.162618,5.752539,71.857143
5,43950,77,8.60,11.6,65,173,11.40,8.81,25.792185,86.116750,729.526630,5.904405,5.682280,54.857143
6,43964,83,9.13,10.5,65,139,11.70,8.66,28.585344,79.480749,614.259800,7.985867,5.632992,33.125000
7,43980,68,7.50,9.0,64,169,13.30,8.58,27.188153,62.389199,500.094077,7.795470,5.568641,22.000000
