"",%time,Flavour,TSS,Acid,%Juice,Bite,Weight,DMC_fruit,Tair,Rhair,CO2air,EC_drain_PC,pH_drain_PC,water_sup
0,43880,80,9.00,14.5,67,219,9.00,8.73,21.485060,88.635373,789.931551,7.337759,5.394012,24.285714
1,43894,74,8.30,13.6,60,277,10.10,8.73,21.383225,88.881558,832.016675,6.318392,5.841737,28.142857
2,43908,71,8.30,12.1,53,285,11.40,8.73,22.011662,86.623112,823.254447,6.120868,4.639722,37.285714
3,43922,76,8.90,13.3,58,334,10.00,9.07,22.672972,87.273668,830.459681,6.099054,4.208611,39.571429
4,43936,73,8.90,12.5,51,290,11.00,8.71,22.771354,84.874664,768.122947,5.857516,3.907068,45.214286
5,43950,77,8.90,13.3,62,265,10.30,9.25,22.595246,80.604953,696.354903,6.768865,3.694898,35.142857
6,43964,79,9.13,12.1,64,188,11.13,8.88,23.214830,75.381381,563.957970,6.572082,3.417879,37.312500
7,43980,72,8.10,10.7,57,175,16.80,8.96,22.839721,70.918467,479.362369,6.716028,3.238676,39.000000
